Country,Year,Production,Commodity
"Evansville, IN (Warrick)",2021,269.0,aluminum
"Ferndale, WA (Intalco) ",2021,279.0,aluminum
Grand total,2021,1640.0,aluminum
"Hawesville, KY",2021,250.0,aluminum
"Magnitude 7 Metals LLC3, New Madrid, MO",2021,263.0,aluminum
"Massena, NY",2021,130.0,aluminum
"Mount Holly, SC",2021,229.0,aluminum
"Sebree, KY",2021,220.0,aluminum
Total,2021,678.0,aluminum
Total,2021,699.0,aluminum
"Evansville, IN (Warrick)",2022,269.0,aluminum
"Ferndale, WA (Intalco) ",2022,279.0,aluminum
Grand total,2022,1640.0,aluminum
"Hawesville, KY",2022,250.0,aluminum
"Magnitude 7 Metals LLC3, New Madrid, MO",2022,263.0,aluminum
"Massena, NY",2022,130.0,aluminum
"Mount Holly, SC",2022,229.0,aluminum
"Sebree, KY",2022,220.0,aluminum
Total,2022,678.0,aluminum
Total,2022,699.0,aluminum
Australia4,2019,5746.0,cobalt
Brazil,2019,30.0,cobalt
Canada5,2019,4365.0,cobalt
China,2019,1742.0,cobalt
"Congo (Kinshasa)e, 6",2019,107000.0,cobalt
"Cubae, 7",2019,3600.0,cobalt
Finland,2019,1454.0,cobalt
"Indonesiae, 8",2019,1100.0,cobalt
"Madagascare, 9",2019,3400.0,cobalt
Mexicoe,2019,1100.0,cobalt
"Moroccoe, 10",2019,2200.0,cobalt
New Caledonia11,2019,1700.0,cobalt
Papua New Guinea12,2019,2911.0,cobalt
"Philippinese, 13",2019,4300.0,cobalt
Russia14,2019,9400.0,cobalt
South Africa,2019,1027.0,cobalt
Total,2019,153000.0,cobalt
"Turkeye, 15",2019,610.0,cobalt
"United Statese, 14",2019,500.0,cobalt
Zambia,2019,878.0,cobalt
Zimbabwe,2019,402.0,cobalt
Australia4,2020,5631.0,cobalt
Brazil,2020,160.0,cobalt
Canada5,2020,4328.0,cobalt
China,2020,2000.0,cobalt
"Congo (Kinshasa)e, 6",2020,100000.0,cobalt
"Cubae, 7",2020,3800.0,cobalt
Finland,2020,1559.0,cobalt
"Indonesiae, 8",2020,1100.0,cobalt
"Madagascare, 9",2020,970.0,cobalt
Mexicoe,2020,1000.0,cobalt
"Moroccoe, 10",2020,1900.0,cobalt
New Caledonia11,2020,2200.0,cobalt
Papua New Guinea12,2020,2941.0,cobalt
"Philippinese, 13",2020,4100.0,cobalt
Russia14,2020,9700.0,cobalt
South Africa,2020,897.0,cobalt
Total,2020,147000.0,cobalt
"Turkeye, 15",2020,2550.0,cobalt
"United Statese, 14",2020,600.0,cobalt
Zambia,2020,316.0,cobalt
Zimbabwe,2020,956.0,cobalt
Australia4,2021,5232.0,cobalt
Brazil,2021,266.0,cobalt
Canada5,2021,3964.0,cobalt
China,2021,2000.0,cobalt
"Congo (Kinshasa)e, 6",2021,118000.0,cobalt
"Cubae, 7",2021,3800.0,cobalt
Finland,2021,1084.0,cobalt
"Indonesiae, 8",2021,2700.0,cobalt
"Madagascare, 9",2021,2500.0,cobalt
Mexicoe,2021,1100.0,cobalt
"Moroccoe, 10",2021,1600.0,cobalt
New Caledonia11,2021,1100.0,cobalt
Papua New Guinea12,2021,2953.0,cobalt
"Philippinese, 13",2021,3600.0,cobalt
Russia14,2021,8000.0,cobalt
South Africa,2021,355.0,cobalt
Total,2021,162000.0,cobalt
"Turkeye, 15",2021,2700.0,cobalt
"United Statese, 14",2021,650.0,cobalt
Zambia,2021,247.0,cobalt
Zimbabwe,2021,345.0,cobalt
Australia4,2022,5793.0,cobalt
Brazil,2022,291.0,cobalt
Canada5,2022,3573.0,cobalt
China,2022,2000.0,cobalt
"Congo (Kinshasa)e, 6",2022,144000.0,cobalt
"Cubae, 7",2022,3700.0,cobalt
Finland,2022,1235.0,cobalt
"Indonesiae, 8",2022,9600.0,cobalt
"Madagascare, 9",2022,4000.0,cobalt
Mexicoe,2022,600.0,cobalt
"Moroccoe, 10",2022,1700.0,cobalt
New Caledonia11,2022,2000.0,cobalt
Papua New Guinea12,2022,2987.0,cobalt
"Philippinese, 13",2022,3900.0,cobalt
Russia14,2022,9200.0,cobalt
South Africa,2022,250.0,cobalt
Total,2022,198000.0,cobalt
"Turkeye, 15",2022,2100.0,cobalt
"United Statese, 14",2022,500.0,cobalt
Zambia,2022,251.0,cobalt
Zimbabwe,2022,241.0,cobalt
Australia4,2023,5222.0,cobalt
Brazil,2023,300.0,cobalt
Canada5,2023,4219.0,cobalt
China,2023,2000.0,cobalt
"Congo (Kinshasa)e, 6",2023,175000.0,cobalt
"Cubae, 7",2023,3300.0,cobalt
Finland,2023,1057.0,cobalt
"Indonesiae, 8",2023,19000.0,cobalt
"Madagascare, 9",2023,4000.0,cobalt
Mexicoe,2023,300.0,cobalt
"Moroccoe, 10",2023,1500.0,cobalt
New Caledonia11,2023,2572.0,cobalt
Papua New Guinea12,2023,3072.0,cobalt
"Philippinese, 13",2023,3800.0,cobalt
Russia14,2023,8700.0,cobalt
South Africa,2023,378.0,cobalt
Total,2023,238000.0,cobalt
"Turkeye, 15",2023,2500.0,cobalt
"United Statese, 14",2023,500.0,cobalt
Zambia,2023,207.0,cobalt
Zimbabwe,2023,336.0,cobalt
"Albania, laterite ore",2018,4204.0,nickel
"Australia, undifferentiated or other",2018,160022.0,nickel
"Brazil, undifferentiated or other",2018,42300.0,nickel
"Burma, laterite ore",2018,21000.0,nickel
"Canada, sulfide ore, concentrate",2018,177867.0,nickel
"China, undifferentiated or other",2018,108200.0,nickel
"Colombia, laterite ore, dry",2018,47700.0,nickel
Cote d'Ivoire,2018,3600.0,nickel
"Cuba, laterite ore",2018,52200.0,nickel
"Dominican Republic, laterite oree",2018,26000.0,nickel
"Finland, undifferentiated or other",2018,43572.0,nickel
"Greece, laterite ore",2018,17925.0,nickel
"Guatemala, laterite ore",2018,39200.0,nickel
"Indonesia, laterite ore",2018,606000.0,nickel
"Kosovo, laterite oree",2018,4790.0,nickel
Laterite ore,2018,1470000.0,nickel
"Madagascar, laterite ore, nickel cobalt sulfide4",2018,39000.0,nickel
"Morocco, undifferentiated or other5",2018,126.0,nickel
"New Caledonia, laterite ore",2018,216225.0,nickel
"Norway, undifferentiated or other",2018,210.0,nickel
"Papua New Guinea, laterite ore, nickel cobalt hydroxide6",2018,35355.0,nickel
"Philippines, laterite ore",2018,344966.0,nickel
"Russia, sulfide ore, concentrate",2018,216000.0,nickel
