Country,Year,Production,Commodity
Argentina,2018,419.0,aluminum
Australia,2018,1574.0,aluminum
Azerbaijan,2018,47.0,aluminum
Bahrain,2018,1011.0,aluminum
Brazil,2018,659.0,aluminum
Canada,2018,2923.0,aluminum
China,2018,35802.0,aluminum
France,2018,390.0,aluminum
Germany,2018,529.0,aluminum
Greece,2018,187.0,aluminum
Iceland,2018,734.0,aluminum
India,2018,3675.0,aluminum
Indonesia,2018,242.0,aluminum
"Iran, Islamic Republic of",2018,305.0,aluminum
Kazakhstan,2018,258.0,aluminum
Montenegro,2018,40.0,aluminum
Mozambique,2018,571.0,aluminum
Netherlands,2018,41.0,aluminum
New Zealand,2018,341.0,aluminum
Norway,2018,1295.0,aluminum
Oman,2018,380.0,aluminum
Qatar,2018,616.0,aluminum
Saudi Arabia,2018,776.0,aluminum
Slovakia,2018,174.0,aluminum
Slovenia,2018,81.0,aluminum
South Africa,2018,714.0,aluminum
Spain,2018,350.0,aluminum
Sweden,2018,125.0,aluminum
Tajikistan,2018,96.0,aluminum
United Arab Emirates,2018,2640.0,aluminum
United Kingdom,2018,44.0,aluminum
United States,2018,891.0,aluminum
"Venezuela, Bolivarian Republic of",2018,86.0,aluminum
Argentina,2019,427.0,aluminum
Australia,2019,1570.0,aluminum
Azerbaijan,2019,33.0,aluminum
Bahrain,2019,1365.0,aluminum
Brazil,2019,650.0,aluminum
Canada,2019,2854.0,aluminum
China,2019,35044.0,aluminum
France,2019,402.0,aluminum
Germany,2019,508.0,aluminum
Greece,2019,182.0,aluminum
Iceland,2019,690.0,aluminum
India,2019,3640.0,aluminum
Indonesia,2019,250.0,aluminum
"Iran, Islamic Republic of",2019,258.0,aluminum
Kazakhstan,2019,278.0,aluminum
Montenegro,2019,37.0,aluminum
Mozambique,2019,565.0,aluminum
Netherlands,2019,81.0,aluminum
New Zealand,2019,351.0,aluminum
Norway,2019,1300.0,aluminum
Oman,2019,391.0,aluminum
Qatar,2019,627.0,aluminum
Saudi Arabia,2019,776.0,aluminum
Slovakia,2019,175.0,aluminum
Slovenia,2019,68.0,aluminum
South Africa,2019,717.0,aluminum
Spain,2019,220.0,aluminum
Sweden,2019,120.0,aluminum
Tajikistan,2019,101.0,aluminum
United Arab Emirates,2019,2570.0,aluminum
United Kingdom,2019,39.0,aluminum
United States,2019,1093.0,aluminum
"Venezuela, Bolivarian Republic of",2019,8.0,aluminum
Argentina,2020,377.0,aluminum
Australia,2020,1585.0,aluminum
Azerbaijan,2020,31.0,aluminum
Bahrain,2020,1549.0,aluminum
Brazil,2020,685.0,aluminum
Canada,2020,3119.0,aluminum
China,2020,36740.0,aluminum
France,2020,350.0,aluminum
Germany,2020,529.0,aluminum
Greece,2020,182.0,aluminum
Iceland,2020,728.0,aluminum
India,2020,3558.0,aluminum
Indonesia,2020,245.0,aluminum
"Iran, Islamic Republic of",2020,425.0,aluminum
Kazakhstan,2020,282.0,aluminum
Montenegro,2020,37.0,aluminum
Mozambique,2020,571.0,aluminum
Netherlands,2020,71.0,aluminum
